date,geography,geography code,population,all_public transport,all_personal transport,all_other
2011,Haringey 030,E02000426,3070,1847,733,490
2011,Haringey 031,E02000427,3682,2671,437,574
2011,Haringey 032,E02000428,2822,1896,494,432
2011,Haringey 033,E02000429,3538,2187,691,660
2011,Haringey 034,E02000430,4224,2786,663,775
2011,Haringey 035,E02000431,3786,2630,510,646
2011,Haringey 036,E02000432,3522,2508,409,605
2011,Haringey 037,E02006794,2370,1536,517,317
2011,Harrow 001,E02000433,2932,1155,1548,229
2011,Harrow 002,E02000434,3531,1567,1597,367
2011,Harrow 003,E02000435,2914,1029,1593,292
2011,Harrow 004,E02000436,2418,830,1425,163
2011,Harrow 005,E02000437,3554,1309,1840,405
2011,Harrow 006,E02000438,3156,1238,1579,339
2011,Harrow 007,E02000439,3602,1717,1446,439
2011,Harrow 008,E02000440,4181,1553,2259,369
2011,Harrow 009,E02000441,2706,1141,1320,245
2011,Harrow 010,E02000442,3852,1837,1587,428
2011,Harrow 011,E02000443,3871,1695,1617,559
2011,Harrow 012,E02000444,3684,1559,1767,358
2011,Harrow 013,E02000445,4355,2054,1653,648
2011,Harrow 015,E02000447,3086,1178,1557,351
2011,Harrow 016,E02000448,2765,1240,1214,311
2011,Harrow 017,E02000449,3607,1652,1536,419
2011,Harrow 019,E02000451,2865,1248,1338,279
2011,Harrow 020,E02000452,4062,2214,1140,708
2011,Harrow 021,E02000453,3522,1774,1288,460
2011,Harrow 022,E02000454,3036,1209,1565,262
2011,Harrow 023,E02000455,3785,2160,1077,548
2011,Harrow 024,E02000456,3254,1642,1179,433
2011,Harrow 025,E02000457,2632,1193,1158,281
2011,Harrow 027,E02000459,3474,1757,1317,400
2011,Harrow 028,E02000460,2579,1182,1137,260
2011,Harrow 029,E02000461,3033,1419,1134,480
2011,Harrow 030,E02000462,2780,1330,1168,282
2011,Harrow 031,E02000463,3469,1313,1797,359
2011,Harrow 032,E02006795,3599,1648,1617,334
2011,Harrow 033,E02006882,6583,2715,3096,772
2011,Havering 001,E02000464,2463,780,1368,315
2011,Havering 002,E02000465,3229,1150,1668,411
2011,Havering 003,E02000466,3400,1034,1966,400
2011,Havering 004,E02000467,3660,1266,1775,619
2011,Havering 005,E02000468,3365,1040,1886,439
2011,Havering 006,E02000469,2516,818,1350,348
2011,Havering 007,E02000470,3607,1433,1794,380
2011,Havering 008,E02000471,3236,966,1849,421
2011,Havering 009,E02000472,4115,1303,2233,579
2011,Havering 010,E02000473,4487,1642,2355,490
2011,Havering 011,E02000474,3703,1262,1876,565
2011,Havering 012,E02000475,4278,1902,1880,496
2011,Havering 013,E02000476,3893,1839,1301,753
2011,Havering 014,E02000477,4444,1699,2153,592
2011,Havering 015,E02000478,2465,762,1488,215
2011,Havering 016,E02000479,3987,1661,1604,722
2011,Havering 017,E02000480,4514,1633,1983,898
2011,Havering 018,E02000481,3273,1250,1685,338
2011,Havering 019,E02000482,2663,1259,1119,285
2011,Havering 020,E02000483,3426,1340,1627,459
2011,Havering 021,E02000484,3994,1360,2061,573
2011,Havering 022,E02000485,3652,1689,1553,410
2011,Havering 023,E02000486,3495,1553,1548,394
2011,Havering 024,E02000487,3314,1360,1568,386
2011,Havering 025,E02000488,3523,1475,1626,422
2011,Havering 026,E02000489,3515,1540,1587,388
2011,Havering 027,E02000490,3388,1235,1797,356
2011,Havering 028,E02000491,3596,1164,1963,469
2011,Havering 029,E02000492,2798,833,1644,321
2011,Havering 030,E02000493,2718,983,1393,342
2011,Hillingdon 001,E02000494,3027,1119,1611,297
2011,Hillingdon 002,E02000495,4236,1741,2043,452
2011,Hillingdon 003,E02000496,3236,475,2237,524
2011,Hillingdon 004,E02000497,3785,1336,2067,382
2011,Hillingdon 005,E02000498,2726,667,1738,321
2011,Hillingdon 006,E02000499,3473,1325,1782,366
2011,Hillingdon 007,E02000500,3557,1205,1968,384
2011,Hillingdon 008,E02000501,3855,1310,2130,415
2011,Hillingdon 009,E02000502,3699,1369,1883,447
2011,Hillingdon 010,E02000503,4723,1451,2429,843
2011,Hillingdon 011,E02000504,3225,829,2045,351
2011,Hillingdon 013,E02000506,3320,771,2133,416
2011,Hillingdon 014,E02000507,3723,895,2367,461
2011,Hillingdon 015,E02000508,3698,1156,1745,797
2011,Hillingdon 016,E02000509,3867,1230,1668,969
2011,Hillingdon 017,E02000510,3848,940,2218,690
2011,Hillingdon 018,E02000511,4213,1009,2746,458
2011,Hillingdon 019,E02000512,3331,954,1911,466
2011,Hillingdon 020,E02000513,3517,1111,2019,387
2011,Hillingdon 021,E02000514,4147,1344,2348,455
2011,Hillingdon 022,E02000515,4732,1306,2561,865
2011,Hillingdon 023,E02000516,3568,1005,2137,426
2011,Hillingdon 024,E02000517,3448,1114,1923,411
2011,Hillingdon 025,E02000518,3644,917,2055,672
2011,Hillingdon 026,E02000519,3455,1196,1788,471
2011,Hillingdon 027,E02000520,4515,1685,2227,603
2011,Hillingdon 028,E02000521,4074,1265,2300,509
2011,Hillingdon 029,E02000522,3711,1132,2041,538
2011,Hillingdon 030,E02000523,4116,1572,2097,447
2011,Hillingdon 031,E02000524,3164,1138,1606,420
2011,Hillingdon 032,E02000525,3945,1792,1714,439
2011,Hillingdon 033,E02006796,3980,1411,2089,480
2011,Hounslow 001,E02000526,4033,2324,836,873
2011,Hounslow 003,E02000528,4751,2302,1547,902
2011,Hounslow 004,E02000529,3541,1229,1882,430
